X,Y,cod_punto,prop_poste,iden_punto,cluster,cod_prov,cod_cant,cod_parr,provincia,canton,parroquia,direccion,longitud,latitud,operadora,estado,tipo_servi,tipo_punto,desc_punto,situacion,OLT,ZONA,ELEMENTO_P,Tipo_de_He,icon_url
-80.7330108601792,-0.953163784739329,"280",cnel,M01-01_T3D4N14,M1C004,"13","1308","130850",manabi,manta,manta,calle s/n,529705.231400000047870,9894645.514000000432134,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7335034468238,-0.953710327703326,"281",cnel,M01-01_T3D4N07,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529650.421100000035949,9894585.107999999076128,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7330197191814,-0.953506818675979,"282",cnel,M01-01_T3D4N06,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529704.242800000007264,9894607.597999999299645,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.732699833502,-0.95342062825999,"283",cnel,M01-01_T3D4N05,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529739.834299999987707,9894617.121999999508262,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7321613610907,-0.953352578420621,"284",cnel,M01-01_T3D4N04,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529799.745800000033341,9894624.639000000432134,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7325977165453,-0.953003743885194,"285",cnel,M01-01_T3D7N12,M1C005,"13","1308","130850",manabi,manta,manta,calle s/n,529751.199499999987893,9894663.199999999254942,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7324934867579,-0.953155104264339,"286",cnel,M01-01_T3D7N13,M1C005,"13","1308","130850",manabi,manta,manta,calle s/n,529762.794899999978952,9894646.469000000506639,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7321341644033,-0.953123139576463,"287",cnel,M01-01_T3D7N15,M1C005,"13","1308","130850",manabi,manta,manta,calle s/n,529802.773700000019744,9894649.999000001698732,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7321033294726,-0.95293956064939,"288",cnel,M01-01_T3D7N14,M1C005,"13","1308","130850",manabi,manta,manta,av. 28 entre calle 16a y calle 12,529806.206000000005588,9894670.289999999105930,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7318297251892,-0.95293479849493,"289",cnel,M01-01_T3D7N16,M1C005,"13","1308","130850",manabi,manta,manta,calle s/n,529836.647499999962747,9894670.813999999314547,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7339855117092,-0.952473985237303,"224",cnel,M01-01_T3D4,M1C004,"13","1308","130850",manabi,manta,manta,calle 14 entre calle 12 y av. 24,529596.796699999948032,9894721.767000000923872,conecel,aereo,sai,elemento_pasivo,caja_de_distribucion,n,"1",las acacias,manga distribucion,"0",./1.png
-80.7383668374764,-0.951740713013915,"290",cnel,M01-01_T3D2N04,M1C004,"13","1308","130850",manabi,manta,manta,calle s/n,529109.332700000028126,9894802.854000000283122,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.737756995712,-0.951351962786113,"291",cnel,M01-01_T3D2N05,M1C004,"13","1308","130850",manabi,manta,manta,av. 35 entre calle 17 y calle 12,529177.187500000000000,9894845.817999999970198,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7371975321431,-0.951841427361607,"292",cnel,M01-01_T3D2N06,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 b entre av. 35 y av. 30,529239.429800000041723,9894791.711999999359250,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
